#OTU,Sp11,Sp12,Sp13,Sp21,Sp22,Sp23,Su11,Su12,Su13,Su21,Su22,Su23,Au11,Au12,Au13,Au21,Au22,Au23,Wi11,Wi12,Wi13,Wi21,Wi22,Wi23
Otu2353,0,0,0,2,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Otu2355,14,6,5,5,4,4,2,19,0,9,5,4,5,8,9,10,12,2,41,10,4,13,8,17
Otu2356,10,16,18,12,4,13,10,14,29,2,0,16,9,16,13,10,12,7,3,15,42,0,23,25
Otu2357,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0
Otu2359,5,1,3,2,7,3,3,7,3,3,9,2,8,7,4,1,3,0,3,2,4,2,9,6
Otu236,30,33,69,5,18,29,20,91,37,14,7,83,18,72,71,17,56,54,27,74,60,61,52,40
Otu2360,0,0,0,5,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0
Otu2361,2,1,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu2362,0,0,2,3,0,0,0,0,2,7,0,0,0,0,2,1,5,2,0,2,6,2,2,0
Otu2363,1,4,10,0,0,0,2,12,8,0,0,4,0,5,15,0,0,4,0,15,6,0,0,6
Otu2364,1,1,2,0,1,1,0,4,0,0,5,0,1,1,5,0,0,2,0,2,0,0,0,2
Otu2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Otu2366,2,1,3,0,4,0,12,2,2,7,2,0,4,2,0,1,2,0,0,5,4,6,0,4
Otu2367,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Otu2368,2,0,2,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,3,2,6,0,0,6
Otu2369,5,5,3,3,0,10,2,12,5,3,9,7,1,5,6,6,7,2,0,2,2,0,9,4
Otu237,77,164,190,113,54,89,229,218,149,64,59,74,160,142,237,159,147,256,199,266,187,88,151,165
Otu2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu2371,1,3,2,6,0,3,3,2,0,2,0,0,3,3,2,6,3,2,3,0,0,0,2,2
Otu2372,11,16,19,6,22,13,18,12,2,21,28,9,31,10,9,25,10,11,33,15,15,13,20,23
Otu2373,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2
Otu2374,2,3,6,0,0,0,2,12,0,0,2,0,4,2,8,3,0,2,3,0,0,2,0,4
Otu2376,3,2,1,3,3,1,2,2,2,5,5,0,1,0,2,1,0,2,0,2,0,0,0,0
Otu2377,2,3,0,0,3,1,3,0,0,0,0,0,1,2,2,3,3,2,3,7,0,0,5,2
Otu2378,12,9,9,5,14,4,2,7,8,12,7,4,12,5,8,7,8,2,11,10,10,12,8,4
Otu2379,2,3,1,3,6,0,3,4,2,2,0,4,4,4,2,1,0,4,16,5,2,2,3,4
Otu238,135,57,41,66,87,58,76,58,39,45,47,56,99,88,44,60,28,33,27,113,41,144,31,44
Otu2380,6,2,2,3,0,8,3,7,2,5,5,4,1,4,6,4,5,2,3,0,6,2,2,15
Otu2381,0,3,0,2,1,0,2,5,0,0,0,0,0,1,7,0,0,0,3,0,0,2,0,0
Otu2382,0,1,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu2383,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2384,0,1,0,0,3,1,0,0,7,10,2,2,1,1,2,10,2,2,0,0,10,0,3,8
Otu2385,6,1,0,3,0,0,3,11,2,2,0,7,4,2,2,1,2,2,3,10,0,0,2,0
Otu2386,0,4,1,2,0,6,0,7,2,0,0,0,1,0,1,1,0,0,0,0,0,0,5,2
Otu2387,0,0,1,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,6,0,0,0
Otu2389,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Otu239,227,144,152,100,146,128,154,508,164,103,127,103,279,229,234,225,161,239,275,194,162,249,99,129
Otu2391,4,3,3,15,3,3,5,0,0,5,2,7,2,2,1,6,3,2,0,5,0,0,5,2
Otu2392,1,1,1,2,3,1,0,0,0,0,5,4,0,2,0,1,0,0,0,0,0,2,0,0
Otu2393,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0
Otu2395,4,25,21,0,3,0,3,70,2,2,0,25,1,16,14,3,2,0,14,32,14,2,12,6
Otu2396,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,3,2,0,3,0,2,0,2,4
Otu2397,29,32,37,29,29,35,53,39,64,46,40,31,52,39,58,91,43,31,22,37,31,35,21,33
Otu2398,1,1,4,2,0,0,0,4,0,0,2,2,3,2,0,0,0,0,0,2,2,2,2,0
Otu2399,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,15,0
Otu240,43,17,16,72,10,4,15,16,5,7,2,40,37,19,17,3,5,5,11,34,19,15,17,21
Otu2400,0,1,0,0,1,1,0,2,0,2,2,0,1,0,1,0,0,4,0,2,2,8,3,10
Otu2402,2,3,4,0,0,3,0,2,10,5,0,7,1,6,7,3,0,0,0,0,4,0,3,8
Otu2403,0,0,0,0,0,1,0,2,2,3,2,4,3,3,1,0,3,0,8,0,0,12,2,0
Otu2404,5,1,3,3,8,1,8,2,0,3,7,2,17,1,1,4,2,2,0,0,0,21,3,0
Otu2405,2,1,3,2,0,1,0,2,5,7,0,4,1,2,2,0,0,5,0,0,2,0,0,0
Otu2406,2,3,1,3,0,0,0,5,2,0,0,0,0,0,3,0,0,2,3,5,12,6,0,6
Otu2407,0,1,3,0,1,0,0,0,3,0,2,2,1,4,5,0,0,0,0,0,2,0,3,2
Otu2408,2,1,1,0,4,4,3,0,3,2,2,7,7,5,2,3,5,9,3,0,0,0,2,12
Otu2409,5,2,7,2,3,7,8,12,7,7,7,7,3,10,2,7,3,4,0,5,2,8,9,13
Otu2410,8,18,31,2,6,8,2,12,29,3,14,7,10,27,29,4,13,24,16,17,15,2,8,15
Otu2411,31,26,27,20,35,25,10,18,101,40,35,40,39,46,25,47,35,13,27,39,21,4,35,27
Otu2412,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0
Otu2414,3,1,0,0,1,7,5,2,0,5,0,2,1,0,2,8,2,4,0,5,2,0,11,4
Otu2415,2,0,0,2,1,3,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Otu2416,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Otu2418,0,0,0,0,1,4,0,0,0,0,0,0,0,2,3,0,2,2,0,2,6,0,0,2
Otu2419,10,4,1,8,6,10,15,0,10,12,2,9,11,3,8,3,13,4,8,10,2,6,6,8
Otu242,71,64,36,15,15,49,33,32,98,9,16,38,58,73,78,15,35,36,101,113,70,15,60,71
Otu2420,1,2,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0
Otu2421,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Otu2422,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,2,2
Otu2423,2,1,1,0,0,0,3,9,2,2,0,0,1,2,1,0,2,2,0,0,0,0,0,0
Otu2424,2,3,0,2,4,4,5,9,19,3,5,7,0,1,0,4,0,2,0,0,2,4,0,0
Otu2426,1,0,3,9,3,6,0,2,0,9,2,0,4,4,3,4,12,2,24,2,4,2,8,10
Otu2428,0,1,3,0,0,0,0,4,0,0,0,2,0,0,4,0,0,2,0,0,8,0,0,2
Otu2429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Otu243,60,63,25,45,70,150,43,40,149,146,151,85,55,75,88,114,166,76,46,89,39,21,138,77
Otu2430,0,0,1,0,1,0,3,4,0,2,2,0,0,4,0,0,2,2,0,0,0,0,0,4
Otu2431,0,3,6,0,0,3,0,5,5,0,0,11,0,0,7,0,3,0,0,0,10,2,0,2
Otu2432,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Otu2433,2,3,3,0,0,3,3,7,14,7,0,0,4,2,0,1,3,2,3,10,2,10,2,6
Otu2436,0,2,0,0,1,3,0,0,2,2,0,2,0,1,3,0,0,0,3,0,4,0,2,4
Otu2437,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu2438,0,0,0,2,0,1,3,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0
Otu2439,3,1,3,5,0,0,12,9,8,2,0,2,11,12,4,0,0,2,5,2,4,10,5,10
Otu244,5,18,17,3,4,11,0,2,8,2,14,4,0,12,25,1,15,5,0,7,10,2,72,0
Otu2440,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
Otu2441,2,3,5,2,4,1,2,2,5,5,0,0,1,5,2,10,2,4,5,5,6,4,3,6
Otu2442,10,3,8,0,0,0,10,4,8,2,0,4,4,2,2,1,0,2,5,5,6,0,3,13
Otu2443,1,4,6,2,1,3,3,0,0,12,9,4,3,5,6,8,7,5,11,5,8,4,2,6
Otu2444,0,1,0,0,0,0,0,2,2,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0
Otu2446,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,2
Otu2447,0,5,16,0,6,4,0,4,0,0,0,0,4,13,23,0,0,9,11,0,14,0,2,27
Otu2448,0,0,4,0,0,1,2,12,0,0,0,0,0,1,6,0,0,0,0,0,6,2,5,4
Otu245,110,60,38,66,37,68,242,30,69,41,54,65,53,77,54,47,53,53,33,76,114,144,72,86
Otu2450,5,1,3,0,4,0,5,7,3,3,2,2,4,5,6,4,0,2,3,7,6,2,2,6
Otu2451,0,0,0,0,0,0,5,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0
Otu2452,6,1,6,6,1,6,3,0,2,7,5,2,11,5,2,3,2,0,3,0,6,0,3,8
Otu2453,20,16,13,5,1,0,0,11,15,5,2,11,19,18,13,1,5,7,8,34,29,10,8,10
Otu2454,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,4
Otu2456,0,1,1,0,1,1,0,0,0,0,2,13,1,0,1,0,2,0,0,0,2,12,2,4
Otu2457,0,0,2,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0
Otu2458,3,4,2,3,3,4,5,2,7,9,7,9,4,1,5,8,7,0,14,10,10,6,5,10
Otu2459,2,0,2,2,1,0,0,0,2,3,0,0,1,0,1,3,2,0,0,0,6,0,2,0
Otu246,28,9,5,42,14,67,30,2,66,90,21,117,62,13,8,20,5,13,22,47,68,0,41,15
Otu2460,2,0,2,0,3,0,0,0,0,2,2,4,3,1,0,4,0,2,8,0,0,0,0,4
Otu2461,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,2
Otu2462,1,1,2,2,1,4,2,0,2,3,7,7,1,3,0,6,2,2,3,2,0,0,6,2
Otu2463,0,1,0,0,0,0,0,7,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Otu2464,0,3,1,0,1,1,3,0,0,3,0,0,1,3,3,0,3,2,0,2,0,2,2,2
Otu2465,0,3,5,0,0,1,2,2,0,0,2,0,0,1,8,0,0,0,0,5,4,0,0,0
