#OTU	Sp11	Sp12	Sp13	Sp21	Sp22	Sp23	Su11	Su12	Su13	Su21	Su22	Su23	Au11	Au12	Au13	Au21	Au22	Au23	Wi11	Wi12	Wi13	Wi21	Wi22	Wi23
Otu2029	1	2	3	0	1	0	7	12	0	2	0	0	0	3	3	0	0	0	0	0	0	0	2	8
Otu203	44	15	25	8	0	4	43	16	12	7	0	11	70	18	15	1	18	5	8	2	14	6	8	12
Otu2030	0	2	3	2	0	3	0	0	2	0	0	7	0	1	2	0	0	0	0	0	0	2	2	4
Otu2031	0	1	3	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	3	5	0	0	0	0
Otu2032	3	3	2	0	0	4	0	2	3	3	2	4	0	4	1	0	3	0	0	2	2	2	3	4
Otu2033	2	2	0	0	0	4	1	1	9	7	2	4	0	1	0	6	0	7	0	2	4	4	0	0
Otu2034	1	2	2	3	1	3	3	5	2	3	5	0	7	2	1	6	0	0	5	2	4	7	5	2
Otu2035	1	2	10	3	0	0	2	2	2	0	2	0	1	4	22	0	3	4	3	7	25	0	8	8
Otu2036	1	1	0	3	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Otu2037	1	0	0	0	0	0	0	0	3	0	2	2	1	1	0	3	2	4	5	0	0	4	2	0
Otu2038	0	0	3	0	0	1	2	2	3	7	0	0	0	2	3	0	0	4	5	0	0	6	0	0
Otu204	44	36	48	26	57	71	53	33	115	76	35	56	76	72	33	68	41	63	53	30	10	16	44	62
Otu2040	2	1	1	5	0	6	0	0	0	0	0	0	2	1	3	0	3	0	5	0	0	0	3	6
Otu2041	0	0	13	0	0	0	0	0	4	0	0	4	1	5	8	0	0	13	0	7	17	0	3	23
Otu2042	3	0	2	2	0	1	5	4	0	0	2	0	0	2	1	0	2	0	0	0	4	0	0	0
Otu2043	2	2	3	0	1	0	3	2	2	0	5	2	0	1	4	1	0	2	0	0	4	0	0	2
Otu2044	5	5	4	2	7	7	16	19	10	7	2	9	8	15	6	4	2	4	8	0	4	2	3	6
Otu2045	1	3	1	0	0	3	0	0	5	0	0	2	0	1	1	3	3	4	0	2	0	0	0	2
Otu2046	1	1	8	0	0	3	0	9	0	0	0	0	1	9	6	0	3	5	3	0	12	0	2	13
Otu2047	3	3	5	2	1	3	0	4	3	0	0	0	1	2	7	3	3	2	5	5	19	12	3	2
Otu2048	0	0	4	0	0	0	0	12	12	0	0	2	0	3	7	0	0	4	0	5	10	4	2	2
Otu2049	2	0	3	0	0	0	0	5	5	0	2	9	0	1	3	0	0	0	0	0	0	0	0	0
Otu205	163	183	139	91	229	138	187	137	327	119	137	146	264	232	217	160	187	214	166	251	120	253	220	241
Otu2050	3	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0
Otu2051	0	0	0	0	0	0	5	0	2	0	0	0	1	1	1	0	0	0	0	5	4	0	0	0
Otu2052	0	9	0	2	4	0	0	0	2	5	0	2	1	3	9	8	3	0	0	5	2	0	6	6
Otu2053	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	4
Otu2054	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0
Otu2055	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2056	9	2	5	0	6	1	2	5	5	2	0	4	4	2	9	3	3	4	3	2	4	4	8	5
Otu2057	2	0	0	0	1	7	0	2	0	7	5	0	2	0	1	1	5	4	5	0	0	0	2	2
Otu2058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu2059	3	2	0	2	8	0	8	5	0	5	7	0	7	2	2	0	0	0	3	7	4	13	3	4
Otu206	13	9	9	0	3	1	38	16	0	0	0	16	4	2	4	0	0	0	27	10	2	29	2	1
Otu2060	8	6	1	0	3	1	2	14	7	10	9	7	1	9	4	13	3	2	11	2	0	17	3	0
Otu2061	6	2	0	3	0	0	2	11	14	0	0	7	3	2	3	0	0	0	0	5	9	0	3	0
Otu2062	0	0	1	0	4	3	0	0	0	9	7	2	0	1	0	4	0	0	0	0	0	0	0	0
Otu2063	2	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	10	0	0
Otu2064	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	2	0	12
Otu2065	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu2066	6	0	1	0	1	1	7	0	2	3	0	0	1	2	1	0	2	11	3	0	0	6	0	0
Otu2067	1	1	0	0	4	6	7	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	3	6
Otu2068	2	3	0	0	0	0	0	0	0	0	0	2	0	1	1	3	0	0	0	0	2	8	2	0
Otu2069	2	2	3	6	4	4	0	11	3	5	0	2	0	5	3	3	0	0	0	5	12	0	5	8
Otu207	82	93	60	43	75	86	137	146	126	62	64	130	172	107	78	109	52	54	174	121	48	90	85	59
Otu2070	0	1	0	0	6	0	0	7	0	0	2	2	4	1	1	0	2	2	0	2	6	0	3	2
Otu2071	1	3	0	0	6	4	2	0	2	10	7	0	1	4	1	4	7	7	3	5	2	0	6	4
Otu2073	1	1	3	8	0	3	3	5	5	3	0	22	12	1	3	0	0	0	0	25	42	0	14	2
Otu2074	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2075	0	1	5	0	0	0	0	4	3	0	0	0	2	1	2	0	0	0	3	2	4	0	1	4
Otu2077	0	0	1	0	3	0	5	2	0	0	0	2	1	4	2	0	0	0	3	0	0	0	0	0
Otu2078	1	3	0	0	1	4	2	2	3	2	2	4	2	2	0	3	3	4	0	5	0	0	2	4
Otu2079	0	1	2	3	0	0	2	7	2	0	0	0	4	9	3	0	2	4	0	7	2	4	4	2
Otu208	0	44	63	5	15	56	0	18	8	9	12	4	1	10	44	7	43	133	33	10	114	36	29	74
Otu2080	5	3	0	0	1	0	1	0	3	0	0	0	0	1	3	0	0	0	0	2	5	0	3	2
Otu2081	9	21	14	5	12	15	8	5	8	15	12	11	11	16	8	8	15	14	51	15	31	31	20	25
Otu2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10
Otu2083	3	0	0	0	7	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	3	0
Otu2084	1	2	0	0	1	0	2	0	2	0	0	2	1	2	3	0	0	0	0	0	0	4	0	0
