OTU ID	A1	A2	A3
cd6188579fb23191a340be3ee208cd0a	0	0	0
fade95c6f6851967f4bb2f7046281776	0	0	0
517e76fd7efcc9bbf254ae5c236306db	0	0	0
79b2f591270905913616481d7a87bb69	0	0	0
00d4161ffa4a99e11e1ada271c0ce8a7	0	0	0
c1549a9e1907422f04ad34921a372e67	0	0	0
58a41cd41e41690030676fbcfc4fa69f	34	0	0
d9b626e15eb853f95ef39cfae17fcc5c	125	0	0
c9bb7f49b71a7ee6416e9546007256f7	0	0	0
57d5831af1b73a84bea7ee43e08a9d01	104	0	0
9ca48384504d4978660c45b4345b7a30	55	0	0
1fc244c4cb7944b5fd3b12ecc6c7752b	0	0	0
15bc2cb146b569f6329bb98953a43321	0	0	0
e5d88fd65749c91cd2070338b72b078d	0	0	0
45bb30afe61082f2ec702c827091aa99	0	0	0
ebc61e188dd18c7ec415f7fa2bdbf9c3	0	18	0
d186739f0e8f70d85d9a3afc8c8d01ea	0	0	0
fb086f81e2b97ef8d2517a2267113f3f	0	0	0
c2dc326544051de994d1f9f02e3ea6fa	0	0	0
684ad71daa79a0748f562288eb21acd0	0	1355	0
990d994da91ecc75b08fb15510be2201	0	0	0
b5c5591a78fd9cca799403667a4a4192	0	0	0
0102903b78e459359ab558638773445d	0	0	0
20150588e3959e0bcf8db66657cdf5f0	0	0	0
9ddd76e2d5adf0a3eca5316579c0cab1	22	0	0
ae227729e418ff3c68383762d3fe9159	0	0	0
f63e7abbe2ada04920359594bc60e02b	0	0	0
ea960d2dd38b594f8d97bf28e183bae3	0	0	0
c28b7e77a7fd3919299cd12aef36790e	0	0	0
de4b4e49497c5ab46101f728f2567207	0	0	0
2419ca15af6d0595894931e1a0157411	2	0	0
bda85a235d8315071c6d7b6dbc34b391	0	4	0
18926ad757c0ce694431a5b5edae86d6	0	28	0
8563f237c3afd9faf008e103e096a188	0	13	0
48de99040f124db24bffb29ed5df8e27	0	0	0
9433619a4f78e9f7146ed14795e803fb	0	0	0
